IsNegative,Text
0,"ÇOK KLÝÞE, ELÝTE DÝZÝSÝNÝN AMERÝKAN VERSÝYONU TEK FARKI BUNLAR DANS EDÝYOR."
0,"Oyunculuklar ultra kötü. Yetiþkin karakterler bile çok kötü oynuyor. gerçekten sadece pornografi ile ön plana çýkmaya çalýþmýþ ama olmamýþ. aþýrý aþýrý çýplaklýk vardý ki ben dizilerde bu sahnelere bile karþý deðilim."
0,"Kötü bir wattpad kitabý gibiydi.sadece dizide her þey fazlaca ortadaydý. suçlu kim daha fotoðraf bulunduðu ilk an anlaþýlýyordu. bütün karakterler suçluymuþ gibi davranýyordu ama asla hiç birinin olayla alakasý tam anlaþýlmýyordu. herkes sanki daha yeni tanýþmýþ gibiydi halbuki 11 yaþýndan beri beraber ayný yerde yatýp kalkýyorlardý." 
0,"Baþlamak isteyenler; zaman kaybý abi, ben hayatýmda bu kadar yapmacýk oyunculuk bu kadar basit bir senaryo görmedim." 
0,"Millet bir anda aþýk olup yiyiþiyor, nefret ettikleriyle bir bakýyorsun can ciðer kuzu sarma."
0,"Elitenin çakmasý ama yanýndan geçemez." 
0,"Umarým Netflix bu yapýma 2. sezon çekme gibi bir yanlýþa düþmez. Gitsin yeni yapýtlar yapsýn buna bütçe ayýracaðýna."
0,"Þu dizinin neyi dikkat çeken diziler kategorisine girdi anlamýþ deðilim."
0,"Baþ roldeki saf kýzdan/karakterden nefret edip, kötü kýzý/karakteri sevdiðiniz dizilerden.Diziye baþladýðýnýzda bir þekilde ilerliyor ama fazla beklentiniz olmasýn bunlar nasýl liseli diyorsunuz."
0,"ÞU diziyi diikat çekenlere koyucak kadar ne yaþamýþ olabilirsiniz acaba yönetici asistaný kardeþlerim"
0,"aga hep ayný konu yav "
0,"dizi çok kötü sara sara bitirdim açýk seçik sahneler içinde boþa izlemeyin eþcinsellerle dolu"
0,"adam atmasa kýz kendi düþecekti zaten"
0,"Konu ve bazý olaylar kliþe cok orjjinal bir þey bulamadým ilk bölümde ve gereksiz cinsellik sahneleri de diziye bir þey katmamýþ . Bakalým konu güzel ilerlerse deðiþebilir"
0,"Eleþtirgel yorumlarý yayýnlamýyor da ondan"
0,"Popüler diziler arasýnda gözüküyor ama hiç yorum yok kimse izlemedi mi?"
0,"bok gibi dizi"
0,"arkadaþlar aradýgýnýz hiç birþeyi bulamýyacagýnýz asalakca yapýlmýþ bir dizi malesef"
0,"3 bölüm izledim ama maalesef oyunculuklar hem yavan hem yapmacýk. Her bölümde illa üstünü cýkaran birileri, bale sanki bu demek."
0,"boþ zamanda izlemelik çerez bi dizi, çok beklentiniz olmasýn"
0,"boþ zamanýnýz varsa izleyebilirsiniz zaman kaybettirmek için ideal, ama size kazandýracaðý hiçbir þey yok."
0,"Oðul rolünde Walter Junior olabilirdi"
0,"kimse demiyormu 911 i arayan numara kimin üstüne kayýtlý diye.senaryo hatasý deðil mi bu, yoksa amerikada bunu tespit edicek teknoloji yokmu."
0,"ölen çocuðun telefonundan arandý ya"
0,"ilk bölüm mantýk hatalarýyla baþladý , inþallah beklentilerimizi karþýlar"
0,"Daha baþlangýcýnda darlandým ve izlemeyi býraktým"
0,"Dizide bazý sahneler gereðinden uzun tutulmuþ hatta baþlarda mahkeme sahnesi gelene kadar kapatmayý düþünmedim deðil. Yönetmeni pek beðenmedim açýkçasý ve senaryo da pek alýþýlmýþ dýþýnda gözükmüyor. Peki dizi izlenir mi ? Bryan Cranston yerine baþka biri oynasaydý bunun cevabý hayýr olurdu ama ben biraz daha þans tanýyacaðým."
